13:39:02.985013 common-main.c:49             | d0 | main                     | version      |     |           |           |              | 2.35.3.vfs.0.0
13:39:03.000687 common-main.c:50             | d0 | main                     | start        |     |  0.008485 |           |              | git.exe pull
13:39:03.000687 ..._win32_process_info.c:118 | d0 | main                     | data_json    | r0  |  0.019570 |  0.019570 | process      | windows/ancestry:["git.exe","cmd.exe","explorer.exe"]
13:39:03.000687 repository.c:136             | d0 | main                     | def_repo     | r1  |           |           |              | worktree:C:/Users/liuwn/Desktop/Git-2.35.3.vfs.0.0-64-bit/00/GendoxData/src
13:39:03.000687 git.c:526                    | d0 | main                     | cmd_name     |     |           |           |              | pull (pull)
13:39:03.000687 read-cache.c:2455            | d0 | main                     | region_enter | r1  |  0.023262 |           | index        | label:do_read_index .git/index
13:39:03.016296 read-cache.c:2114            | d0 | th01:load_index_extensio | thread_start |     |  0.023653 |           |              | 
13:39:03.016296 read-cache.c:1839            | d0 | th01:load_index_extensio | region_enter |     |  0.023713 |           | index        | label:read/extension/cache_tree
13:39:03.016296 cache-tree.c:685             | d0 | th01:load_index_extensio | region_enter | r1  |  0.023732 |           | cache_tree   | ..label:read
13:39:03.016296 read-cache.c:2197            | d0 | th02:load_cache_entries  | thread_start |     |  0.023796 |           |              | 
13:39:03.016296 read-cache.c:2197            | d0 | th03:load_cache_entries  | thread_start |     |  0.023963 |           |              | 
13:39:03.016296 read-cache.c:2197            | d0 | th04:load_cache_entries  | thread_start |     |  0.024075 |           |              | 
13:39:03.016296 read-cache.c:2197            | d0 | th05:load_cache_entries  | thread_start |     |  0.024129 |           |              | 
13:39:03.016296 read-cache.c:2197            | d0 | th06:load_cache_entries  | thread_start |     |  0.024177 |           |              | 
13:39:03.016296 cache-tree.c:687             | d0 | th01:load_index_extensio | region_leave | r1  |  0.035678 |  0.011946 | cache_tree   | ..label:read
13:39:03.016296 read-cache.c:1841            | d0 | th01:load_index_extensio | data         |     |  0.035773 |  0.012060 | index        | ..read/extension/cache_tree/bytes:767846
13:39:03.016296 read-cache.c:1842            | d0 | th01:load_index_extensio | region_leave |     |  0.035793 |  0.012080 | index        | label:read/extension/cache_tree
13:39:03.016296 fsmonitor.c:94               | d0 | th01:load_index_extensio | data         |     |  0.035819 |  0.012166 | index        | extension/fsmn/read/token:builtin:0.4048.20231225T053421.328944Z:4
13:39:03.016296 read-cache.c:2116            | d0 | th01:load_index_extensio | thread_exit  |     |  0.035904 |  0.012251 |              | 
13:39:03.047527 read-cache.c:2206            | d0 | th06:load_cache_entries  | thread_exit  |     |  0.060510 |  0.036333 |              | 
13:39:03.047527 read-cache.c:2206            | d0 | th04:load_cache_entries  | thread_exit  |     |  0.063568 |  0.039493 |              | 
13:39:03.047527 read-cache.c:2206            | d0 | th05:load_cache_entries  | thread_exit  |     |  0.063905 |  0.039776 |              | 
13:39:03.047527 read-cache.c:2206            | d0 | th03:load_cache_entries  | thread_exit  |     |  0.066876 |  0.042913 |              | 
13:39:03.047527 read-cache.c:2206            | d0 | th02:load_cache_entries  | thread_exit  |     |  0.067370 |  0.043574 |              | 
13:39:03.063150 read-cache.c:2400            | d0 | main                     | data         | r1  |  0.075968 |  0.052706 | index        | ..read/version:4
13:39:03.063150 read-cache.c:2402            | d0 | main                     | data         | r1  |  0.076071 |  0.052809 | index        | ..read/cache_nr:1074121
13:39:03.063150 read-cache.c:2460            | d0 | main                     | region_leave | r1  |  0.076093 |  0.052831 | index        | label:do_read_index .git/index
13:39:03.094405 fsmonitor-ipc.c:46           | d0 | main                     | region_enter |     |  0.105849 |           | fsm_client   | label:query
13:39:03.094405 fsmonitor-ipc.c:47           | d0 | main                     | data         |     |  0.105925 |  0.000076 | fsm_client   | ..query/command:builtin:0.4048.20231225T053421.328944Z:4
13:39:03.094405 ...imple-ipc/ipc-win32.c:202 | d0 | main                     | region_enter |     |  0.105953 |           | ipc-client   | ..label:try-connect
13:39:03.094405 ...imple-ipc/ipc-win32.c:203 | d0 | main                     | data         |     |  0.105964 |  0.000011 | ipc-client   | ....try-connect/path:.git/fsmonitor--daemon.ipc
13:39:03.094405 ...imple-ipc/ipc-win32.c:211 | d0 | main                     | data         |     |  0.106332 |  0.000379 | ipc-client   | ....try-connect/state:0
13:39:03.094405 ...imple-ipc/ipc-win32.c:213 | d0 | main                     | region_leave |     |  0.106356 |  0.000403 | ipc-client   | ..label:try-connect
13:39:03.094405 ...imple-ipc/ipc-win32.c:243 | d0 | main                     | region_enter |     |  0.106369 |           | ipc-client   | ..label:send-command
13:39:03.094405 ...imple-ipc/ipc-win32.c:262 | d0 | main                     | region_leave |     |  0.107833 |  0.001464 | ipc-client   | ..label:send-command
13:39:03.094405 fsmonitor-ipc.c:59           | d0 | main                     | data         |     |  0.107874 |  0.002025 | fsm_client   | ..query/response-length:37191
13:39:03.094405 fsmonitor-ipc.c:102          | d0 | main                     | region_leave |     |  0.107889 |  0.002040 | fsm_client   | label:query
13:39:03.094405 fsmonitor.c:443              | d0 | main                     | region_enter | r1  |  0.107900 |           | fsmonitor    | label:apply_results
13:39:03.110098 fsmonitor.c:473              | d0 | main                     | data         | r1  |  0.125966 |  0.018066 | fsmonitor    | ..apply_count:806
13:39:03.110098 fsmonitor.c:503              | d0 | main                     | region_leave | r1  |  0.126017 |  0.018117 | fsmonitor    | label:apply_results
