CMD:
	set GIT_TRACE2_PERF=1
	git pull

12:57:07.735404 common-main.c:55             | d0 | main                     | version      |     |           |           |              | 2.42.0.vfs.0.3
12:57:07.735404 common-main.c:56             | d0 | main                     | start        |     |  0.015579 |           |              | git.exe pull
12:57:07.751095 ..._win32_process_info.c:120 | d0 | main                     | data_json    | r0  |  0.025205 |  0.025205 | process      | windows/ancestry:["git.exe","cmd.exe","explorer.exe"]
12:57:07.751095 repository.c:143             | d0 | main                     | def_repo     | r1  |           |           |              | worktree:C:/Users/liuwn/Desktop/Git-2.42.0.vfs.0.3-64-bit/00/GendoxData/src
12:57:07.751095 git.c:536                    | d0 | main                     | cmd_name     |     |           |           |              | pull (pull)
12:57:07.751095 read-cache.c:2418            | d0 | main                     | region_enter | r1  |  0.030297 |           | index        | label:do_read_index .git/index
12:57:07.751095 read-cache.c:2066            | d0 | th01:load_index_extensio | thread_start |     |  0.035726 |           |              | 
12:57:07.751095 read-cache.c:1770            | d0 | th01:load_index_extensio | region_enter |     |  0.035909 |           | index        | label:read/extension/cache_tree
12:57:07.751095 cache-tree.c:669             | d0 | th01:load_index_extensio | region_enter | r1  |  0.035954 |           | cache_tree   | ..label:read
12:57:07.751095 read-cache.c:2149            | d0 | th02:load_cache_entries  | thread_start |     |  0.035843 |           |              | 
12:57:07.751095 read-cache.c:2149            | d0 | th03:load_cache_entries  | thread_start |     |  0.035966 |           |              | 
12:57:07.751095 read-cache.c:2149            | d0 | th04:load_cache_entries  | thread_start |     |  0.036112 |           |              | 
12:57:07.751095 read-cache.c:2149            | d0 | th05:load_cache_entries  | thread_start |     |  0.036181 |           |              | 
12:57:07.751095 read-cache.c:2149            | d0 | th06:load_cache_entries  | thread_start |     |  0.036229 |           |              | 
12:57:07.766609 cache-tree.c:671             | d0 | th01:load_index_extensio | region_leave | r1  |  0.046432 |  0.010478 | cache_tree   | ..label:read
12:57:07.766609 read-cache.c:1772            | d0 | th01:load_index_extensio | data         |     |  0.046554 |  0.010645 | index        | ..read/extension/cache_tree/bytes:767846
12:57:07.766609 read-cache.c:1773            | d0 | th01:load_index_extensio | region_leave |     |  0.046569 |  0.010660 | index        | label:read/extension/cache_tree
12:57:07.766609 fsmonitor.c:96               | d0 | th01:load_index_extensio | data         |     |  0.046596 |  0.010870 | index        | extension/fsmn/read/token:builtin:0.644.20231225T044131.750779Z:4
12:57:07.766609 read-cache.c:2068            | d0 | th01:load_index_extensio | thread_exit  |     |  0.046699 |  0.010973 |              | 
12:57:07.797780 read-cache.c:2158            | d0 | th02:load_cache_entries  | thread_exit  |     |  0.077150 |  0.041307 |              | 
12:57:07.797780 read-cache.c:2158            | d0 | th04:load_cache_entries  | thread_exit  |     |  0.078400 |  0.042288 |              | 
12:57:07.797780 read-cache.c:2158            | d0 | th06:load_cache_entries  | thread_exit  |     |  0.080810 |  0.044581 |              | 
12:57:07.797780 read-cache.c:2158            | d0 | th03:load_cache_entries  | thread_exit  |     |  0.082075 |  0.046109 |              | 
12:57:07.797780 read-cache.c:2158            | d0 | th05:load_cache_entries  | thread_exit  |     |  0.083275 |  0.047094 |              | 
12:57:07.813422 read-cache.c:2367            | d0 | main                     | data         | r1  |  0.089869 |  0.059572 | index        | ..read/version:4
12:57:07.813422 read-cache.c:2369            | d0 | main                     | data         | r1  |  0.089911 |  0.059614 | index        | ..read/cache_nr:1074121
